# ----------------------------------------
# Pages and screens: Page path and screen class
# Account: lonelyfloater
# Property: Lonely Floater - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20160101
# End date: 20250825
Page path and screen class,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue
/collections/trials/products/allevil-short-sleeve-unisex-t-shirt,2,2,1,13,7,0,0
/collections/trials/products/fs-wave-unisex-sweatshirt,2,1,2,33,5,0,0
/collections/trials/products/ruby-iphone-case,2,1,2,2,7,0,0
/collections/trials/products/thunda-sweatshirt,2,1,2,27,5,0,0
/collections/trials/products/tropicamo-kimono,2,2,1,7.5,6,0,0
/collections/trials/products/yute-crop-top,2,2,1,4,8,1,0
/collections/womens/products/orange-lts-athletic-short-shorts,2,2,1,16,7,0,0
/h,2,2,1,0,4,0,0
/pages/lonely-floater-2020-holiday-giveaway,2,2,1,0,8,0,0
/products/baby-frosty-tee,2,2,1,8,10,0,0
/products/boxing-mma-hand-wraps,2,2,1,15.5,8,0,0
/products/brown-scale-face-mask,2,2,1,5.5,9,0,0
/products/copy-of-copy-of-white-duffle-bag,2,2,1,0,7,0,0
/products/dad-hat-1,2,2,1,7,8,0,0
/products/earth-duffy,2,2,1,2.5,7,0,0
/products/earth-sports-leggings,2,2,1,7,10,0,0
/products/floater-camo-red-knit-beanie,2,2,1,12,9,0,0
/products/floater-jersey,2,2,1,5.5,8,0,0
/products/fs-vq-packable-jacket,2,2,1,0,8,0,0
/products/infant-long-sleeve-bodysuit,2,1,2,7,2,0,0
/products/kg-floater-unisex-hoodie,2,2,1,7,8,0,0
/products/lamont-dad-hat-out-for-the-season,2,2,1,0,8,0,0
/products/lff-long-sleeve-fitted-crew-gym-shirt,2,2,1,3,8,0,0
/products/lfx-bleu-unisex-hoodie,2,2,1,14.5,10,0,0
/products/lonely-floater-lux-sweatpants,2,2,1,4.5,8,0,0
/products/lonely-floater-phone-case-17-different-phone-models,2,2,1,5,8,0,0
/products/lonely-floater-saga-1-first-flight-comic-book,2,2,1,6.5,6,0,0
/products/lvl-9000-slime-tee,2,2,1,1.5,8,0,0
/products/mkga-make-kanye-great-again-fitted,2,2,1,0,6,0,0
/products/og-yellow-camo-duffy-1,2,2,1,0,7,0,0
/products/orange-lts-athletic-short-shorts,2,1,2,15,5,0,0
/products/rent-money-dad-hat-1,2,2,1,3,7,0,0
/products/slime-hooded-sweatshirt,2,1,2,7,7,0,0
/products/strange-vibez-long-sleeve-t-shirt,2,2,1,9.5,8,0,0
/products/test-cotton-cap,2,2,1,5,10,0,0
/products/the-lfx-coast-2-coast-cuffed-beanie,2,1,2,0,5,0,0
/products/travel-bug-dad-hat,2,2,1,0.5,9,0,0
/products/travis-michael-x-lonely-floater-family-business-camo-splash-unisex-hoodie,2,2,1,29,9,0,0
/products/travis-michael-x-lonely-floater-family-business-mens-fleece-shorts,2,1,2,13,6,0,0
/products/tropicamo-mens-athletic-long-shorts,2,2,1,10,10,0,0
/products/vq-lamont-mens-champion-t-shirt,2,2,1,3,6,0,0
/products/womens-focus-bear-hoodie,2,1,2,0,5,0,0
/products/womens-tropicamo-crop-hoodie,2,2,1,9.5,7,0,0
/products/womens-yardie-crop-hoodie,2,2,1,15,6,0,0
/products/xavier-tee,2,2,1,0,4,0,0
/products/young-souls-x-lfxnyc-dad-hat-1,2,2,1,4.5,7,0,0
//lonelyfloater.com/,1,1,1,0,3,0,0
/ADM,1,1,1,1,3,0,0
/admn,1,1,1,1,3,0,0
/collections/accessories/products/black-fish-scale-wallet,1,1,1,0,4,1,0
/collections/accessories/products/color-changing-mug,1,1,1,17,3,0,0
/collections/accessories/products/dream-journal,1,1,1,68,4,0,0
/collections/accessories/products/earth-socks,1,1,1,5,3,0,0
/collections/all/products/2k19-sponge-fleece-jogger-sweatpants,1,1,1,0,4,1,0
/collections/all/products/black-fish-scale-wallet,1,1,1,0,4,1,0
/collections/all/products/boxing-mma-hand-wraps,1,1,1,2,6,1,0
/collections/all/products/fanny-pack,1,1,1,0,5,1,0
/collections/all/products/island-floater-dad-hat,1,1,1,11,5,1,0
/collections/all/products/lfx-polo-shirt,1,1,1,6,5,1,0
/collections/all/products/lfxnyc-organic-ribbed-beanie,1,1,1,17,5,1,0
/collections/all/products/lmnt-leggings-x,1,1,1,24,3,0,0
/collections/all/products/nope-bean-bag-chair-w-filling,1,1,1,18,5,1,0
/collections/all/products/nope-tee-short-sleeve-unisex-t-shirt,1,1,1,0,4,1,0
/collections/all/products/ny-reppin-long-sleeve-tee,1,1,1,0,2,0,0
/collections/all/products/vision-quest-unisex-hoodie,1,1,1,44,4,0,0
/collections/alsc-privt-stock,1,1,1,0,4,1,0
/collections/artist-test-collection/products/lonely-floater-apple-watch-band,1,1,1,15,5,1,0
/collections/aux-mic,1,1,1,0,2,1,0
/collections/aux-mic/products/aux-mic-bucket-hat,1,1,1,0,2,0,0
/collections/aux-mic/products/aux-mic-short-sleeve-unisex-t-shirt,1,1,1,18,3,0,0
/collections/aux-mic/products/aux-mic-unisex-hoodie,1,1,1,76,3,1,0
/collections/bags/products/bag-tag,1,1,1,10,3,0,0
/collections/bags/products/benard-fanny-pack,1,1,1,0,2,0,0
/collections/bags/products/introvert-backpack,1,1,1,9,3,0,0
/collections/beanies/products/cuffed-beanie,1,1,1,17,5,1,0
/collections/beanies/products/wavy-lfxnyc-knit-beanie,1,1,1,0,5,1,0
/collections/dad-hats/products/badge-of-the-king-out-for-the-season,1,1,1,0,2,0,0
/collections/dad-hats/products/coast-2-coast-trucker,1,1,1,1,6,1,0
/collections/dad-hats/products/copy-of-fs-gen2-dnm,1,1,1,18,4,0,0
/collections/first-flight-saga/products/fs-gen2-blk,1,1,1,0,4,0,0
/collections/hats-1/products/copy-of-fs-gen2-blk-2,1,1,1,0,2,0,0
/collections/hats-1/products/fs-bucket-hat,1,1,1,3,3,0,0
/collections/hats-1/products/old-float-orange-school-bucket-hat,1,1,1,0,2,0,0
/collections/hats/products/bolo-clarke-five-panel-cap,1,1,1,0,4,1,0
/collections/hats/products/copy-of-fs-gen2-wht,1,1,1,23,3,0,0
/collections/hats/products/pink-sig,1,1,1,7,3,0,0
/collections/hats/products/trucker-cap-1,1,1,1,25,6,1,0
/collections/hats/products/world-peace-dad-hat,1,1,1,38,6,1,0
/collections/long-sleeve-tops/products/lonely-floater-lux-hoodie,1,1,1,6,3,0,0
/collections/lunar-return/products/2-angels-in-the-sky-tee,1,1,1,8,3,0,0
/collections/lunar-return/products/classic-lonely-floater-hoodie,1,1,1,8,3,0,0
/collections/lunar-return/products/conquest-unisex-long-sleeve-tee,1,1,1,14,3,0,0
/collections/lunar-return/products/dream-big-unisex-t-shirt,1,1,1,25,3,0,0
